t x;

0 0.600018159971905;
1 0.602695178799634;
2 1;
3 59.9652636410306;
4 8811.18631792269;
5 1307607.54898884;
6 194066078.763916;
7 28801959735.5544;
8 4274589832610.39;
9 634405380925373;
10 94154106734808000;
11 13973708422994000000;
12 2073882211434830000000;
13 307791410605681000000000;
14 45680295592627400000000000;
15 6779556977641340000000000000;
16 1006175468367670000000000000000;
17 149329679871960000000000000000000;
18 22162489537574000000000000000000000;
19 3289205085849170000000000000000000000;
20 488161317727136000000000000000000000000;
