t x y;

0 0.600018159971905 34;
1 0.602695178799634 35;
2 1 76;
3 59.9652636410306 48;
4 8811.18631792269 90;
5 1307607.54898884 32;
6 194066078.763916 45;
7 28801959735.5544 23;
8 4274589832610.39 51;
9 634405380925373 34;
10 94154106734808000 73;
11 13973708422994000000 80;
12 2073882211434830000000 32;
13 307791410605681000000000 12;
14 45680295592627400000000000 32;
15 6779556977641340000000000000 32;
16 1006175468367670000000000000000 52;
17 149329679871960000000000000000000 73;
18 22162489537574000000000000000000000 92;
19 3289205085849170000000000000000000000 48;
20 488161317727136000000000000000000000000 15;
